"33082","confidence_deadline","274","lineup","foil","./stims/h53.bmp","49","1","1","516.00000000006","0","image-keyboard-response","0.0-71.0-0.1",NULL
"33082","confidence_deadline","276","lineup","foil","./stims/h33.bmp","49","1","1","644.99999999994","0","image-keyboard-response","0.0-71.0-0.2",NULL
"33082","confidence_deadline","278","lineup","foil","./stims/h46.bmp","49","1","1","658","0","image-keyboard-response","0.0-71.0-0.3",NULL
"33082","confidence_deadline","280","lineup","foil","./stims/h21.bmp","49","1","1","521","0","image-keyboard-response","0.0-71.0-0.4",NULL
"33082",NULL,"283","lineup",NULL,"./stims/h42.bmp",NULL,NULL,NULL,NULL,NULL,"image-keyboard-response","0.0-72.0-1.0",NULL
"33082","confidence_deadline","285","lineup","foil","./stims/h13.bmp","49","1","1","628","0","image-keyboard-response","0.0-74.0-0.0",NULL
"33082","confidence_deadline","287","lineup","foil","./stims/h25.bmp","49","1","1","534.99999999994","0","image-keyboard-response","0.0-74.0-0.1",NULL
"33082","confidence_deadline","289","lineup","foil","./stims/h38.bmp","56","8","0","953.99999999994","0","image-keyboard-response","0.0-74.0-0.2",NULL
"33082","confidence_deadline","291","lineup","foil","./stims/h9.bmp","49","1","1","623.99999999994","0","image-keyboard-response","0.0-74.0-0.3",NULL
"33082","confidence_deadline","293","lineup","target","./stims/h42.bmp","49","1","0","1045","0","image-keyboard-response","0.0-74.0-0.4",NULL
"33082",NULL,"296","lineup",NULL,"./stims/h22.bmp",NULL,NULL,NULL,NULL,NULL,"image-keyboard-response","0.0-75.0-1.0",NULL
"33082","confidence_deadline","298","lineup","foil","./stims/h13.bmp","49","1","1","741","0","image-keyboard-response","0.0-77.0-0.0",NULL
"33082","confidence_deadline","300","lineup","foil","./stims/h9.bmp","49","1","1","662","0","image-keyboard-response","0.0-77.0-0.1",NULL
"33082","confidence_deadline","302","lineup","target","./stims/h22.bmp","53","5","1","2896","0","image-keyboard-response","0.0-77.0-0.2",NULL
"33082","confidence_deadline","304","lineup","foil","./stims/h48.bmp","49","1","1","1745","0","image-keyboard-response","0.0-77.0-0.3",NULL
"33082","confidence_deadline","306","lineup","foil","./stims/h25.bmp","49","1","1","726","0","image-keyboard-response","0.0-77.0-0.4",NULL
"33082",NULL,"309","lineup",NULL,"./stims/h25.bmp",NULL,NULL,NULL,NULL,NULL,"image-keyboard-response","0.0-78.0-1.0",NULL
"33082","confidence_deadline","311","lineup","foil","./stims/h45.bmp","49","1","1","711","0","image-keyboard-response","0.0-80.0-0.0",NULL
"33082","confidence_deadline","313","lineup","foil","./stims/h14.bmp","49","1","1","555.99999999994","0","image-keyboard-response","0.0-80.0-0.1",NULL
"33082","confidence_deadline","315","lineup","foil","./stims/h53.bmp","50","2","1","2542","0","image-keyboard-response","0.0-80.0-0.2",NULL
"33082","confidence_deadline","317","lineup","foil","./stims/h7.bmp","49","1","1","866.99999999994","0","image-keyboard-response","0.0-80.0-0.3",NULL
"33082","confidence_deadline","319","lineup","foil","./stims/h37.bmp","49","1","1","742.99999999994","0","image-keyboard-response","0.0-80.0-0.4",NULL
"33082",NULL,"322","lineup",NULL,"./stims/h6.bmp",NULL,NULL,NULL,NULL,NULL,"image-keyboard-response","0.0-81.0-1.0",NULL
"33082","confidence_deadline","324","lineup","target","./stims/h6.bmp","55","7","1","1951","0","image-keyboard-response","0.0-83.0-0.0",NULL
